record_id,organization_name,title,job_url,source_type,source_provider,rejection_reason
9,9 Story Media Group,Executive Team,https://9story.com/about#executive-team,static_html_listing,,title_is_navigation
74,AgileBits,"We grow your skills through mentorship, peer learning, and opportunities to build connections with industry leaders.",,ats,ashby,title_is_sentence
74,AgileBits,"“At 1Password, we solve real security challenges for customers, backed by leadership I believe in and a team that challenges and inspires me to improve every single day.”",,ats,ashby,title_is_navigation
104,Alberta College of Pharmacy,AboutWho we areLeadership teamCouncilAnnual reportsStrategic Plan 2026-28Vision roadmapmyACPAcademyACP awardsCareersContact us,https://abpharmacy.ca/about/careers/,static_html_listing,,title_is_navigation
104,Alberta College of Pharmacy,Leadership team,https://abpharmacy.ca/about/leadership-team/,static_html_listing,,title_is_navigation
117,Alberta Pharmacists Association,About RxALeaders in PharmacyBoard of DirectorsContact Us,https://rxa.ca/for-pharmacists/career-opportunities/,static_html_listing,,title_is_navigation
145,Alberta Pensions Services Corporation,"Alternative work arrangements (work from home, flexible work arrangements, compressed work week for non-managerial roles)",,ats,dayforce,title_is_navigation
145,Alberta Pensions Services Corporation,"Comply with all security, privacy, and conduct requirements associated with your access level.",,ats,dayforce,title_is_navigation
161,Alma Mater Society of the University of British Columbia Vancouver,"About UsThe AMSAMS LeadershipAMS Council & CommitteesFinancesCode, Bylaws & PoliciesAMS Logos",https://www.ams.ubc.ca/about-us/,ats,dayforce,title_is_navigation
161,Alma Mater Society of the University of British Columbia Vancouver,AMS Leadership,https://www.ams.ubc.ca/about-us/leadership/,ats,dayforce,title_is_navigation
159,Alphora Research (Canada),Business Leadership,https://careers.eurofins.com/jobs/?deptid=1,ats,smartrecruiters,title_is_navigation
159,Alphora Research (Canada),Kick start an international career working on meaningful projects with exposure to our leadership teams!,https://careers.eurofins.com/students-and-graduates/,ats,smartrecruiters,title_is_navigation
165,AltaLink,GovernanceGovernanceLeadershipRegulatoryCode of Ethics,https://www.altalink.ca/join-our-team/,ats,workable,title_is_navigation
